Pytanie|label|Odpowiedź
Urlop okolicznościowy, jak wziąć?|jak urlop okolicznościowy|Urlop okolicznościowy jest zwolnieniem od pracy, za które pracownik zachowuje prawo do wynagrodzenia. Aby pracownik mógł skorzystać z urlopu okolicznościowego, musi wystąpić konkretna przyczyna (okoliczność). Na urlop okolicznościowy należy wystawić wniosek w samoobsłudze pracowniczej a następnie dostarczyć do wglądu dokument poświadczający daną okoliczność np. Akt urodzenia dziecka.
Urlop okolicznościowy, na czym polega?|jak urlop okolicznościowy|Urlop okolicznościowy jest zwolnieniem od pracy, za które pracownik zachowuje prawo do wynagrodzenia. Aby pracownik mógł skorzystać z urlopu okolicznościowego, musi wystąpić konkretna przyczyna (okoliczność). Na urlop okolicznościowy należy wystawić wniosek w samoobsłudze pracowniczej a następnie dostarczyć do wglądu dokument poświadczający daną okoliczność np. Akt urodzenia dziecka.
Urlop okolicznościowy, co to jest?|jak urlop okolicznościowy|Urlop okolicznościowy jest zwolnieniem od pracy, za które pracownik zachowuje prawo do wynagrodzenia. Aby pracownik mógł skorzystać z urlopu okolicznościowego, musi wystąpić konkretna przyczyna (okoliczność). Na urlop okolicznościowy należy wystawić wniosek w samoobsłudze pracowniczej a następnie dostarczyć do wglądu dokument poświadczający daną okoliczność np. Akt urodzenia dziecka.
Co to jest urlop okolicznościowy?|jak urlop okolicznościowy|Urlop okolicznościowy jest zwolnieniem od pracy, za które pracownik zachowuje prawo do wynagrodzenia. Aby pracownik mógł skorzystać z urlopu okolicznościowego, musi wystąpić konkretna przyczyna (okoliczność). Na urlop okolicznościowy należy wystawić wniosek w samoobsłudze pracowniczej a następnie dostarczyć do wglądu dokument poświadczający daną okoliczność np. Akt urodzenia dziecka.
Jak wziąć urlop okolicznościowy?|jak urlop okolicznościowy|Urlop okolicznościowy jest zwolnieniem od pracy, za które pracownik zachowuje prawo do wynagrodzenia. Aby pracownik mógł skorzystać z urlopu okolicznościowego, musi wystąpić konkretna przyczyna (okoliczność). Na urlop okolicznościowy należy wystawić wniosek w samoobsłudze pracowniczej a następnie dostarczyć do wglądu dokument poświadczający daną okoliczność np. Akt urodzenia dziecka.
Jakie badania muszę zrobić?|jakie badania|Obowiązkowymi badaniami dla pracownika są badania wstępne, okresowe i kontrolne. Badaniom wstępnym poddawani są nowo zatrudniani pracownicy, młodociani oraz pracownicy przenoszeni na inne stanowiska pracy, na których występują czynniki szkodliwe dla zdrowia lub warunki uciążliwe. Obowiązek kierowania kandydatów do pracy na wstępne badania lekarskie ma charakter bezwzględny. Oznacza to, że wykonane przez pracownika badania dla potrzeb innego zakładu pracy lub w innym celu nie mogą zastąpić badań uwzględniających konkretne stanowisko i warunki pracy panujące u aktualnego pracodawcy. Badania okresowe mają na celu sprawdzenie stanu zdrowia pracownika w trakcie zatrudnienia. Badania tego rodzaju przeprowadzane są z różną częstotliwością, w zależności od występowania czynników szkodliwych lub uciążliwych dla zdrowia pracowników. Najczęściej odbywają się one co 2-4 lata. Badania kontrolne są badaniami dodatkowymi. O potrzebie przeprowadzenia takich badań decyduje niezdolność pracownika trwająca dłużej niż 30 dni. Pracodawca ma obowiązek skierować na badania kontrolne każdego pracownika, który chorował dłużej niż miesiąc. Profilaktyczne badania lekarskie przeprowadzane są na podstawie skierowania pracodawcy. W przypadku skierowania na badania wstępne, powinno ono określić rodzaj stanowiska pracy, na którym mają być zatrudnieni. W skierowaniu należy także zawrzeć informację o zagrożeniach, czynnikach szkodliwych dla zdrowia lub innych uciążliwościach występujących na tym stanowisku pracy.
Jakie badania lekarskie zrobić|jakie badania|Obowiązkowymi badaniami dla pracownika są badania wstępne, okresowe i kontrolne. Badaniom wstępnym poddawani są nowo zatrudniani pracownicy, młodociani oraz pracownicy przenoszeni na inne stanowiska pracy, na których występują czynniki szkodliwe dla zdrowia lub warunki uciążliwe. Obowiązek kierowania kandydatów do pracy na wstępne badania lekarskie ma charakter bezwzględny. Oznacza to, że wykonane przez pracownika badania dla potrzeb innego zakładu pracy lub w innym celu nie mogą zastąpić badań uwzględniających konkretne stanowisko i warunki pracy panujące u aktualnego pracodawcy. Badania okresowe mają na celu sprawdzenie stanu zdrowia pracownika w trakcie zatrudnienia. Badania tego rodzaju przeprowadzane są z różną częstotliwością, w zależności od występowania czynników szkodliwych lub uciążliwych dla zdrowia pracowników. Najczęściej odbywają się one co 2-4 lata. Badania kontrolne są badaniami dodatkowymi. O potrzebie przeprowadzenia takich badań decyduje niezdolność pracownika trwająca dłużej niż 30 dni. Pracodawca ma obowiązek skierować na badania kontrolne każdego pracownika, który chorował dłużej niż miesiąc. Profilaktyczne badania lekarskie przeprowadzane są na podstawie skierowania pracodawcy. W przypadku skierowania na badania wstępne, powinno ono określić rodzaj stanowiska pracy, na którym mają być zatrudnieni. W skierowaniu należy także zawrzeć informację o zagrożeniach, czynnikach szkodliwych dla zdrowia lub innych uciążliwościach występujących na tym stanowisku pracy.
Które badania lekarskie muszę zrobić|jakie badania|Obowiązkowymi badaniami dla pracownika są badania wstępne, okresowe i kontrolne. Badaniom wstępnym poddawani są nowo zatrudniani pracownicy, młodociani oraz pracownicy przenoszeni na inne stanowiska pracy, na których występują czynniki szkodliwe dla zdrowia lub warunki uciążliwe. Obowiązek kierowania kandydatów do pracy na wstępne badania lekarskie ma charakter bezwzględny. Oznacza to, że wykonane przez pracownika badania dla potrzeb innego zakładu pracy lub w innym celu nie mogą zastąpić badań uwzględniających konkretne stanowisko i warunki pracy panujące u aktualnego pracodawcy. Badania okresowe mają na celu sprawdzenie stanu zdrowia pracownika w trakcie zatrudnienia. Badania tego rodzaju przeprowadzane są z różną częstotliwością, w zależności od występowania czynników szkodliwych lub uciążliwych dla zdrowia pracowników. Najczęściej odbywają się one co 2-4 lata. Badania kontrolne są badaniami dodatkowymi. O potrzebie przeprowadzenia takich badań decyduje niezdolność pracownika trwająca dłużej niż 30 dni. Pracodawca ma obowiązek skierować na badania kontrolne każdego pracownika, który chorował dłużej niż miesiąc. Profilaktyczne badania lekarskie przeprowadzane są na podstawie skierowania pracodawcy. W przypadku skierowania na badania wstępne, powinno ono określić rodzaj stanowiska pracy, na którym mają być zatrudnieni. W skierowaniu należy także zawrzeć informację o zagrożeniach, czynnikach szkodliwych dla zdrowia lub innych uciążliwościach występujących na tym stanowisku pracy.
Które badania są obowiązkowe|jakie badania|Obowiązkowymi badaniami dla pracownika są badania wstępne, okresowe i kontrolne. Badaniom wstępnym poddawani są nowo zatrudniani pracownicy, młodociani oraz pracownicy przenoszeni na inne stanowiska pracy, na których występują czynniki szkodliwe dla zdrowia lub warunki uciążliwe. Obowiązek kierowania kandydatów do pracy na wstępne badania lekarskie ma charakter bezwzględny. Oznacza to, że wykonane przez pracownika badania dla potrzeb innego zakładu pracy lub w innym celu nie mogą zastąpić badań uwzględniających konkretne stanowisko i warunki pracy panujące u aktualnego pracodawcy. Badania okresowe mają na celu sprawdzenie stanu zdrowia pracownika w trakcie zatrudnienia. Badania tego rodzaju przeprowadzane są z różną częstotliwością, w zależności od występowania czynników szkodliwych lub uciążliwych dla zdrowia pracowników. Najczęściej odbywają się one co 2-4 lata. Badania kontrolne są badaniami dodatkowymi. O potrzebie przeprowadzenia takich badań decyduje niezdolność pracownika trwająca dłużej niż 30 dni. Pracodawca ma obowiązek skierować na badania kontrolne każdego pracownika, który chorował dłużej niż miesiąc. Profilaktyczne badania lekarskie przeprowadzane są na podstawie skierowania pracodawcy. W przypadku skierowania na badania wstępne, powinno ono określić rodzaj stanowiska pracy, na którym mają być zatrudnieni. W skierowaniu należy także zawrzeć informację o zagrożeniach, czynnikach szkodliwych dla zdrowia lub innych uciążliwościach występujących na tym stanowisku pracy.
Jakie badania lekarskie są obowiązkowe? |jakie badania|Obowiązkowymi badaniami dla pracownika są badania wstępne, okresowe i kontrolne. Badaniom wstępnym poddawani są nowo zatrudniani pracownicy, młodociani oraz pracownicy przenoszeni na inne stanowiska pracy, na których występują czynniki szkodliwe dla zdrowia lub warunki uciążliwe. Obowiązek kierowania kandydatów do pracy na wstępne badania lekarskie ma charakter bezwzględny. Oznacza to, że wykonane przez pracownika badania dla potrzeb innego zakładu pracy lub w innym celu nie mogą zastąpić badań uwzględniających konkretne stanowisko i warunki pracy panujące u aktualnego pracodawcy. Badania okresowe mają na celu sprawdzenie stanu zdrowia pracownika w trakcie zatrudnienia. Badania tego rodzaju przeprowadzane są z różną częstotliwością, w zależności od występowania czynników szkodliwych lub uciążliwych dla zdrowia pracowników. Najczęściej odbywają się one co 2-4 lata. Badania kontrolne są badaniami dodatkowymi. O potrzebie przeprowadzenia takich badań decyduje niezdolność pracownika trwająca dłużej niż 30 dni. Pracodawca ma obowiązek skierować na badania kontrolne każdego pracownika, który chorował dłużej niż miesiąc. Profilaktyczne badania lekarskie przeprowadzane są na podstawie skierowania pracodawcy. W przypadku skierowania na badania wstępne, powinno ono określić rodzaj stanowiska pracy, na którym mają być zatrudnieni. W skierowaniu należy także zawrzeć informację o zagrożeniach, czynnikach szkodliwych dla zdrowia lub innych uciążliwościach występujących na tym stanowisku pracy.
Jakie badania lekarskie należy zrobić?|jakie badania|Obowiązkowymi badaniami dla pracownika są badania wstępne, okresowe i kontrolne. Badaniom wstępnym poddawani są nowo zatrudniani pracownicy, młodociani oraz pracownicy przenoszeni na inne stanowiska pracy, na których występują czynniki szkodliwe dla zdrowia lub warunki uciążliwe. Obowiązek kierowania kandydatów do pracy na wstępne badania lekarskie ma charakter bezwzględny. Oznacza to, że wykonane przez pracownika badania dla potrzeb innego zakładu pracy lub w innym celu nie mogą zastąpić badań uwzględniających konkretne stanowisko i warunki pracy panujące u aktualnego pracodawcy. Badania okresowe mają na celu sprawdzenie stanu zdrowia pracownika w trakcie zatrudnienia. Badania tego rodzaju przeprowadzane są z różną częstotliwością, w zależności od występowania czynników szkodliwych lub uciążliwych dla zdrowia pracowników. Najczęściej odbywają się one co 2-4 lata. Badania kontrolne są badaniami dodatkowymi. O potrzebie przeprowadzenia takich badań decyduje niezdolność pracownika trwająca dłużej niż 30 dni. Pracodawca ma obowiązek skierować na badania kontrolne każdego pracownika, który chorował dłużej niż miesiąc. Profilaktyczne badania lekarskie przeprowadzane są na podstawie skierowania pracodawcy. W przypadku skierowania na badania wstępne, powinno ono określić rodzaj stanowiska pracy, na którym mają być zatrudnieni. W skierowaniu należy także zawrzeć informację o zagrożeniach, czynnikach szkodliwych dla zdrowia lub innych uciążliwościach występujących na tym stanowisku pracy.
Jakie badania muszę zrobić?|jakie badania|Obowiązkowymi badaniami dla pracownika są badania wstępne, okresowe i kontrolne. Badaniom wstępnym poddawani są nowo zatrudniani pracownicy, młodociani oraz pracownicy przenoszeni na inne stanowiska pracy, na których występują czynniki szkodliwe dla zdrowia lub warunki uciążliwe. Obowiązek kierowania kandydatów do pracy na wstępne badania lekarskie ma charakter bezwzględny. Oznacza to, że wykonane przez pracownika badania dla potrzeb innego zakładu pracy lub w innym celu nie mogą zastąpić badań uwzględniających konkretne stanowisko i warunki pracy panujące u aktualnego pracodawcy. Badania okresowe mają na celu sprawdzenie stanu zdrowia pracownika w trakcie zatrudnienia. Badania tego rodzaju przeprowadzane są z różną częstotliwością, w zależności od występowania czynników szkodliwych lub uciążliwych dla zdrowia pracowników. Najczęściej odbywają się one co 2-4 lata. Badania kontrolne są badaniami dodatkowymi. O potrzebie przeprowadzenia takich badań decyduje niezdolność pracownika trwająca dłużej niż 30 dni. Pracodawca ma obowiązek skierować na badania kontrolne każdego pracownika, który chorował dłużej niż miesiąc. Profilaktyczne badania lekarskie przeprowadzane są na podstawie skierowania pracodawcy. W przypadku skierowania na badania wstępne, powinno ono określić rodzaj stanowiska pracy, na którym mają być zatrudnieni. W skierowaniu należy także zawrzeć informację o zagrożeniach, czynnikach szkodliwych dla zdrowia lub innych uciążliwościach występujących na tym stanowisku pracy.
Jakie dokumenty muszę dostarczyć do pracodawcy po odbytych badaniach?|jakie dokumenty badania|Po odbytych badaniach wstępnych, okresowych lub kontrolnych pracownik musi dostarczyć do pracodawcy zaświadczenie od lekarza medycyny pracy o zdolności do wykonywania pracy na danym stanowisku. Bez ważnych badań pracownik nie może zostać dopuszczony do pełnienia obowiązków pracowniczych.
Dokumenty jeżeli miałem badania|jakie dokumenty badania|Po odbytych badaniach wstępnych, okresowych lub kontrolnych pracownik musi dostarczyć do pracodawcy zaświadczenie od lekarza medycyny pracy o zdolności do wykonywania pracy na danym stanowisku. Bez ważnych badań pracownik nie może zostać dopuszczony do pełnienia obowiązków pracowniczych.
Dokumenty potrzebne pracodawcy po odbytych badaniach|jakie dokumenty badania|Po odbytych badaniach wstępnych, okresowych lub kontrolnych pracownik musi dostarczyć do pracodawcy zaświadczenie od lekarza medycyny pracy o zdolności do wykonywania pracy na danym stanowisku. Bez ważnych badań pracownik nie może zostać dopuszczony do pełnienia obowiązków pracowniczych.
Jakie dokumenty dać po odbytych badaniach |jakie dokumenty badania|Po odbytych badaniach wstępnych, okresowych lub kontrolnych pracownik musi dostarczyć do pracodawcy zaświadczenie od lekarza medycyny pracy o zdolności do wykonywania pracy na danym stanowisku. Bez ważnych badań pracownik nie może zostać dopuszczony do pełnienia obowiązków pracowniczych.
